emetteur,fiscal_year,report_year,publication_date,status,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale
SETAO CI,2021,2021,,ok,1286674.0,1119448.0,,2977605.0,16260295.0,13282535.0,7291396.0,12769570.0,,,0.3759558437066031,0.06884549142558606,4.460811625450656,0.18312121643549517,0.5709977704809167
SETAO CI,2022,2022,,ok,-106831.0,-70544.0,,1919221.0,15068264.0,13149043.0,8150698.0,12729020.0,,,-0.03675657988319219,-0.004681627558423452,6.851239643584559,0.1273684214717767,0.640324078365813
SETAO CI,2023,2023,,ok,-1136144.0,-1117719.0,,801502.0,11329611.0,10418043.0,6577469.0,9153452.0,,,-1.39453051895067,-0.09865466696076326,12.99814972389339,0.07074399994845366,0.7185779747356517
SGCI,2019,2019,,ok,60262.0,50253.0,,211053.0,,,18984.0,,,,0.2381060681440207,,,,
SGCI,2021,2021,,ok,80504.0,67438.0,,304993.0,,,44234.0,,,,0.2211132714521317,,,,
SICABLE,2019,2019,,ok,884361856.0,637951839.0,15199536904.0,493333333.0,13994028124.0,5844471456.0,7962647196.0,5844471456.0,0.05818347371933852,0.041971794471719254,1.2931456204683416,0.04558743439323961,11.846901608004663,0.03525313288129847,1.3624238318121062
SICABLE,2020,2020,,ok,1662125484.0,1166658052.0,18897903618.0,493333333.0,7142120534.0,6648787201.0,1704773423.0,4176254506.0,0.08795290300966757,0.06173478686221967,2.3648474043005727,0.1633489726820116,13.477271362484643,0.06907378987115817,0.4082063055665698
SICABLE,2021,2021,,ok,628129534.0,40094693.0,19036863791.0,2472532695.0,9349424605.0,6876891910.0,1704773423.0,3438445955.0,0.032995431437449214,0.0021061606281469244,0.01621604158403252,0.004288466370278837,2.781314853351211,0.2644582741142924,0.49579764966816237
SICABLE,2024,2024,,ok,1784869818.0,1224827540.0,19125318524.0,523446400.0,12140294417.0,11616848017.0,1397545576.0,7829917711.0,0.09332497211799116,0.06404220345208825,2.339929245859748,0.10088944286926678,22.193003938894222,0.04311645022933055,0.17848790084174615
SICABLE,2025,2025,,ok,2088527.0,1439474.0,21263067.0,453886.0,23609026.0,3818598.0,759229.0,3400997.0,0.0982232243354169,0.06769832404704364,3.1714439308548843,0.060971342062141824,8.413121356463957,0.01922510483914076,0.223237186036918
SITAB,2020,2020,,ok,4638985646.0,8542921197.0,,-18464090.0,28206327257.0,12104439090.0,8542921197.0,12097539090.0,,,-462.6776189349164,0.30287251222613154,-655.5665126199017,-0.000654608089588046,0.7061701667954685
SITAB,2021,2021,,ok,,3642418476.0,,0.0,37826007574.0,55958817.0,0.0,,,,,0.09629402386371975,,0.0,
SITAB,2022,2022,,ok,13743664099.0,11331559237.0,358571540404.0,10333713077.0,152322956329.0,141989243252.0,110942778161.0,120579072944.0,0.03832893174822272,0.031601948175342676,1.096562208817364,0.0743916708951285,13.740389557363361,0.06784081221927162,0.9200831906588356
SITAB,2023,2023,,ok,16258209527.0,12399004223.0,,-10773000000.0,35417065559.0,13660652933.0,12399004223.0,13652702933.0,,,-1.150933279773508,0.35008558804356477,-1.2680453850366658,-0.3041753976498604,0.9081721241462245
SITAB,2024,2024,,ok,55005589361.0,44730358142.0,,-13466250000.0,122824248415.0,136290498415.0,218495.0,41289384604.0,,,-3.3216640224264364,0.36418181848639974,-10.120894711965098,-0.10963836680278374,5.2917959929786125e-06
SMB,2019,2019,,ok,950.0,58.0,116253134198.0,10743.0,97322.0,86465.0,59029.0,75200.0,8.17182269152399e-09,4.989112801140962e-10,0.0053988643768035,0.0005959598035387683,8.048496695522665,0.11038614085201702,0.7849601063829788
SMB,2020,2020,,ok,14102.0,9396.0,102670.0,20139.0,80095.0,59956.0,42964.0,51307.0,0.13735268335443654,0.09151650920424662,0.46655742589006405,0.1173106935514077,2.9771090918119074,0.2514389162869093,0.8373906094684935
SMB,2021,2021,,ok,13649.0,8623.0,139353.0,21747.0,107351.0,82532.0,85849.0,78467.0,0.09794550529949123,0.061878825715987455,0.3965144617648411,0.08032528807370215,3.795098174460845,0.20257845758306864,1.0940777651751692
SMB,2022,2022,,ok,1380.0,9421.0,276854.0,24932.0,164780.0,136985.0,12086.0,108494.0,0.004984576708301126,0.03402876606442385,0.3778678004171346,0.057173200631144554,5.494344617359217,0.15130476999635878,0.11139786531974119
SMB,2023,2023,,ok,28583.0,17755.0,247646.0,35951.0,183993.0,144521.0,155055.0,124945.0,0.11541878326320636,0.07169508088158097,0.4938666518316598,0.09649823634594794,4.019943812411338,0.19539330300609262,1.2409860338548961
SMB,2024,2024,,ok,17086.0,8698.0,229061.0,35294.0,163113.0,120211.0,134430.0,117820.0,0.07459148436442695,0.03797241782756558,0.24644415481384938,0.053324995555228585,3.4059896866322887,0.21637760325663805,1.1409777626888473
SODECI,2020,2020,,ok,6372159.0,4307472.0,127480235.0,1276856.0,271676820.0,255492875.0,231248219.0,148077848.0,0.04998546637445405,0.033789332126662616,3.373498656073982,0.015855132579952903,200.09529265633714,0.004699907780133764,1.5616665296216352
SODECI,2021,2021,,ok,6.699,5.184,,23.956,303.628,31.243,225.0,26.927,,,0.21639672733344467,0.017073524180905582,1.3041826682250792,0.07889917925882989,8.35592527945928
SODECI,2022,2022,,ok,8.31,5.375,,25.045,303.628,217.925,338.0,17.925,,,0.2146136953483729,0.01770258342445361,8.701337592333799,0.08248580499822152,18.85634588563459
SOGB,2020,2020,,ok,11218699.0,7652581.0,,3024258.0,11608629.0,8584371.0,24306540.0,,,,2.530399522792037,0.6592148823086689,2.8385048497846412,0.2605181025252853,
SOGB,2021,2021,,ok,20581153.0,14728280.0,,51502356.0,65546085.0,14043729.0,30614612.0,7926984.0,,,0.2859729368497239,0.22470113966379532,0.272681292483008,0.7857426725028658,3.8620756645907197
SOGB,2022,2022,,ok,21852242.0,15652983.0,,13004308.0,19385799.0,6381491.0,26983990.0,2749889.0,,,1.2036767354325966,0.807445852502649,0.4907213055858105,0.6708161990124833,9.812756078518078
SOGB,2023,2023,,ok,7678013.0,5270303.0,,13393141.0,19326183.0,5933042.0,23522774.0,730690.0,,,0.3935076170705587,0.2727027370070955,0.4429910802850504,0.6930049767199244,32.19254950799929
SOGB,2024,2024,,ok,18383382.0,13110790.0,,4968423.0,5632091.0,663668.0,25682184.0,654345.0,,,2.63882322419005,2.3278725432525857,0.1335771934072441,0.8821631255602936,39.24868991128533
SOGB,2025,2025,,ok,17061019.0,12492623.0,,-12898314.0,-12189454.0,708860.0,23060273.0,699537.0,,,-0.9685469744340229,-1.024871417538472,-0.05495757042354528,1.0581535481408766,32.965051169559295
SOLIBRA,2019,2019,,ok,17267.0,13095.0,225004.0,109255.0,275982.0,166726.0,99795.0,58541.0,0.07674085794030329,0.05819896535172708,0.11985721477277927,0.0474487466573907,1.526026268820649,0.3958772673580161,1.7047026870056883
