emetteur,fiscal_year,report_year,publication_date,status,status_reason,diagnostic,core_metrics_count,report_title,report_url,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale,company_url,truth_status,truth_reason
BANK OF AFRICA BF,2020,2021.0,2021-03-11,ok,,,5,BANK OF AFRICA BURKINA FASO : Etats financiers exercice 2020,https://www.brvm.org/sites/default/files/20210311_-_etats_financiers_exercice_2020_-_boa_bf.pdf,,17608.0,,84435.0,867213104267.0,867213019832.0,25160448690.0,,,,0.2085391129271037,2.0304121228521935e-08,10270776.571706044,9.736361176341717e-08,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf,verified_like,passes_rule_checks
BANK OF AFRICA BF,2021,2022.0,2022-03-14,ok,,,7,BOA BURKINA FASO : États financiers exercice 2021,https://www.brvm.org/sites/default/files/20220314_-_etats_financiers_exercice_2021_-_boa_bf.pdf,19852081801.0,21244692497.0,47367496842.0,39607918915.0,988180921512.0,948573002597.0,29273485678.0,,0.4191076819452591,0.4485078147123593,0.5363748734840592,0.0214987883640718,23.949074543216252,0.0400816470473813,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf,verified_like,passes_rule_checks
BANK OF AFRICA BF,2022,2023.0,2023-02-23,ok,,,7,BOA BURKINA FASO : Etats financiers exercice 2022,https://www.brvm.org/sites/default/files/20230223_-_etats_financiers_exercice_2022_-_boa_bf.pdf,0.0,25476935672.0,50828241839.0,43244692497.0,1073229476522.0,1029984784025.0,19025636976.0,,0.0,0.5012358238299678,0.5891343931689976,0.0237385724389184,23.817599907698565,0.0402939850637931,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf,verified_like,passes_rule_checks
BANK OF AFRICA BF,2023,2024.0,2024-03-01,ok,,,7,BOA BURKINA FASO : Etats financiers certifiés - Exercice 2023,https://www.brvm.org/sites/default/files/20240301_-_etats_financiers_certifies_-_exercice_2023_-_boa_bf.pdf,29304006229.0,29062589535.0,56645788278.0,47476935672.0,1163299866414.0,1115822930742.0,60859489249.0,,0.5173201242285659,0.5130582593779047,0.6121412244417441,0.0249828873655669,23.50242101661308,0.0408122935820089,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf,verified_like,passes_rule_checks
BANK OF AFRICA BF,2024,2025.0,2025-04-16,ok,,,7,BOA BURKINA FASO : Etats financiers certifiés par les Commissaires Aux Comptes - Exercice 2024,https://www.brvm.org/sites/default/files/20250416_-_etats_financiers_certifies_par_les_commissaires_aux_comptes_-_exercice_2024_-_boa_bf.pdf,34234427341.0,22419223685.0,60576445149.0,51062589535.0,1098275937341.0,1047213347806.0,14638108510.0,,0.5651442116947192,0.3700980410761211,0.4390537943562991,0.0204131065088054,20.508426175452875,0.0464934064372073,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf,verified_like,passes_rule_checks
BANK OF AFRICA BN,2022,,,ok,,,7,BOA BENIN : Etats financiers 2022,https://www.brvm.org/sites/default/files/boa_bn_bilan_hors_bilan_et_compte_de_resultat_2022.pdf,23196758789.0,19143162703.0,46412884468.0,97192147880.0,884426057334.0,787233909454.0,27541120277.0,,0.499791362999499,0.4124536305473217,0.1969620295523815,0.0216447294200092,8.099768619435926,0.1098929040749596,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bn,verified_like,passes_rule_checks
BANK OF AFRICA BN,2025,2026.0,2026-04-15,ok,,,7,BOA BN : Etats financiers - Exercice 2025,https://www.brvm.org/sites/default/files/20260415_-_etats_financiers_-_exercice_2025_-_boa_bn.pdf,21190621936.0,20107229743.0,51273938002.0,117506988771.0,964662725647.0,847155736876.0,12623737146.0,,0.4132825127489414,0.3921530221106811,0.1711151817717444,0.0208437925592222,7.209407250890875,0.1218114742561323,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bn,verified_like,passes_rule_checks
BANK OF AFRICA CI,2020,2021.0,2021-04-12,ok,,,7,BOA CÔTE D'IVOIRE : Etats Financiers - Exercice 2020,https://www.brvm.org/sites/default/files/20210412_-_etats_financiers_-_exercice_2020_-_boa_ci.pdf,14397.0,14382.0,35375.0,53113.0,608499.0,555386.0,16717.0,,0.406982332155477,0.4065583038869258,0.2707811646866115,0.0236352072887547,10.456686686875154,0.0872852708057038,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ci,verified_like,passes_rule_checks
BANK OF AFRICA CI,2023,2024.0,2024-03-14,ok,,,7,BOA CÔTE D'IVOIRE : Etats financiers - Exercice 2023,https://www.brvm.org/sites/default/files/20240314_-_etats_financiers_-_exercice_2023_-_boa_ci.pdf,21900.0,20069.0,47810.0,81726.0,843300.0,761574.0,48364.0,,0.4580631667015268,0.4197657393850659,0.2455644470547928,0.0237981738408632,9.318625651567432,0.0969121309142653,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ci,verified_like,passes_rule_checks
BANK OF AFRICA CI,2024,2025.0,2025-04-02,ok,,,7,BOA CÔTE D'IVOIRE :  Etats financiers - Exercice 2024,https://www.brvm.org/sites/default/files/20250402_-_etats_financiers_-_exercice_2024_-_boa_ci.pdf,31018.0,26075.0,60811.0,95800.0,938738.0,842938.0,37416.0,,0.5100721908865172,0.4287875548831625,0.2721816283924843,0.0277766533367137,8.79893528183716,0.1020519037260662,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ci,verified_like,passes_rule_checks
BANK OF AFRICA ML,2020,2021.0,2021-03-31,ok,,,7,BOA MALI : Etats financiers de l'exercice 2020,https://www.brvm.org/sites/default/files/20210331-_etats_financiers_2020_-boa_ml.pdf,-1963034937.0,528378608.0,32348310259.0,26839742203.0,579477949704.0,552638207501.0,20910556581.0,,-0.0606843115230057,0.0163340404419731,0.019686426345069,0.0009118183155543,20.590294918675824,0.0463171070041748,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ml,verified_like,passes_rule_checks
BANK OF AFRICA ML,2021,2022.0,2022-03-22,ok,,,7,BOA MALI : États financiers exercice 2021,https://www.brvm.org/sites/default/files/20220322_-_etats_financiers_exercice_2021_-_boa_ml.pdf,1986073855.0,2095292328.0,35407562442.0,32186115601.0,581464087673.0,547291834103.0,10134938935.0,,0.0560917984188638,0.0591764070580185,0.0650992606245067,0.0036034767622284,17.003972796456246,0.0553535743364784,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ml,verified_like,passes_rule_checks
BANK OF AFRICA ML,2025,2026.0,2026-03-24,ok,,,7,BOA ML : Etats financiers - Exercice 2025,https://www.brvm.org/sites/default/files/20260324_-_etats_financiers_-_exercice_2025_-_boa_ml.pdf,9414331581.0,11081189907.0,37996330474.0,49820422180.0,593455473338.0,543635051158.0,18779853606.0,,0.2477694941473889,0.291638423204646,0.2224226416019503,0.0186723189941644,10.911891697622703,0.0839497222930236,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ml,verified_like,passes_rule_checks
BANK OF AFRICA SN,2020,2021.0,2021-03-11,ok,,,7,BANK OF AFRICA SENEGAL : Etats financiers exercice 2020,https://www.brvm.org/sites/default/files/20210311_-_etats_financiers_exercice_2020_-_boa_sn.pdf,7632.0,7667.0,29997.0,46551.0,561588.0,515037.0,23543.0,,0.2544254425442544,0.2555922258892556,0.1647010805353268,0.0136523572441006,11.06392988335374,0.0828917284557362,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-sn,verified_like,passes_rule_checks
